latitude_deg,longitude_deg,iata_code
31.258801,-81.466499,BQK
32.3326,-88.7519,MEI
40.481201,-107.218002,HDN
31.3213005065918,-85.44960021972656,DHN
40.96749877929688,-98.30960083007812,GRI
38.366699,-82.557999,HTS
55.35559845,-131.7140045,KTN
42.9098014831543,-112.59600067138672,PIH
37.151798,-94.498299,JLN
43.41709899902344,-124.24600219726562,OTH
42.55709838867188,-92.40029907226562,ALO
44.6884,-111.117996,WYS
44.38270187,-100.2860031,PIR
42.4818,-114.487999,TWF
43.50439835,-114.2959976,SUN
44.777448,-89.670238,CWA
40.412875,-86.939363,LAF
29.9508,-94.020699,BPT
39.643305,-79.917598,MGW
45.57089996,-84.79669952,PLN
39.708771,-77.728014,HGR
38.844521,-99.273148,HYS
36.162132,-97.085581,SWO
45.449100494384766,-98.42179870605467,ABR
45.5466,-94.059898,STC
31.532946,-84.196215,ABY
41.31209945678711,-105.6750030517578,LAR
41.5942,-109.065001,RKS
33.453701,-93.990997,TXK
46.3745002746582,-117.01499938964844,LWS
36.741199,-108.230003,FMN
30.126100540161133,-93.22329711914062,LCH
35.0730018616,-77.04290008539999,EWN
30.78249931335449,-83.27670288085938,VLD
43.159801,-93.329716,MCW
44.650902,-73.468102,PBG
41.87400055,-103.5960007,BFF
57.04710006713867,-135.36199951171875,SIT
37.3731,-118.363998,BIH
44.3489,-105.539001,GCC
45.95479965209961,-112.49700164794922,BTM
33.450298,-88.5914,GTR
28.85260009765625,-96.9185028076172,VCT
44.520199,-109.024002,COD
32.6875,-103.217003,HOB
34.829201,-77.612099,OAJ
39.834598541259766,-88.8656997680664,DEC
37.0442009,-100.9599991,LBL
34.567699,-98.416603,LAW
39.2966,-80.228104,CKB
37.76340103149414,-99.9655990600586,DDC
44.76919937133789,-106.9800033569336,SHR
38.534672,-106.934566,GUC
38.5452,-89.835197,BLV
46.688999,-68.0448,PQI
40.727001,-99.006798,EAR
31.0672,-97.828903,GRK
48.566200256347656,-93.4030990600586,INL
64.51219940185547,-165.44500732421875,OME
47.50939941,-94.93370056,BJI
46.242038,-84.462082,CIU
47.168399810791016,-88.48909759521484,CMX
47.384831,-92.836905,HIB
46.92969894,-98.67819977,JMS
46.797533,-102.801905,DIK
45.723199,-87.088623,ESC
45.0780983,-83.56030273,APN
31.4671,-89.337097,PIB
43.064201,-108.459999,RIW
59.508717,-139.660435,YAK
45.63119888305664,-89.46749877929688,RHI
60.77980042,-161.8379974,BET
40.31610107421875,-78.83390045166016,JST
66.88469696,-162.598999,OTZ
71.285402,-156.766008,BRW
42.552624,-94.191237,FOD
58.677845,-156.651965,AKN
57.75,-152.4940033,ADQ
70.19470215,-148.4649963,SCC
44.91400146,-97.15470123,ATY
58.4253006,-135.7070007,GST
48.115454,-98.908796,DVL
56.80170059,-132.9450073,PSG
45.81911,-88.114557,IMT
60.491798,-145.477997,CDV
51.883564,-176.642783,ADK
59.04470062,-158.5050049,DLG
48.260863,-103.75116,XWA
56.48429871,-132.3699951,WRG
18.4380556,-66.0044444,SJU
17.7019444,-64.7980556,STX
18.3375,-64.9733333,STT
18.4941667,-67.1305556,BQN
18.0119444,-66.5638889,PSE
31.3575,-100.4963889,SJT
13.4833333,144.7958333,GUM
15.1852778,145.7227778,SPN
-14.3319444,-170.7102778,PPG
